accuracy,precision,recall,f1,mcc,seed,model_name
0.94948,0.960344121261778,0.93768,0.9488767455980572,0.8992104470023787,0.0,llama3-8b
0.9412,0.9382549268912904,0.94456,0.9413969063945145,0.8824199245609035,400.0,bert-base-uncased
0.95032,0.9452618256604968,0.956,0.9506005886564316,0.9006981192411311,400.0,roberta-base
0.92312,0.9190966719492868,0.92792,0.9234872611464968,0.8462789974347233,400.0,xlnet-base-uncased
0.9394,0.9422658829213302,0.93616,0.9392030177775994,0.8788184511628409,400.0,bert-base-uncased_semi
0.94452,0.9520787568139288,0.93616,0.9440522770360212,0.8891642953614344,400.0,roberta-base_semi
0.94996,0.94727634194831,0.95296,0.9501096709870388,0.8999361989973743,400.0,fusion
0.94176,0.9550848854458546,0.92712,0.9408946983843468,0.8838989726689821,400.0,xlnet-base-uncased_semi
0.9732,0.9713147410358566,0.9752,0.973253493013972,0.9464075712908556,,llama3_llamafactory
0.97332,0.972224439300822,0.97448,0.9733509129409884,0.9466425476078522,,qwen2_llamafactory
0.94032,0.9662036252752838,0.91256,0.938615979593516,0.882000419264749,0.0,qwen2
0.97244,0.9737665463297231,0.97104,0.9724013619066694,0.9448837039513792,0.0,qwen2-sft
0.97148,0.9735636801928486,0.96928,0.9714171176588494,0.9429691279853386,0.0,llama3-sft
